Category Name,Course Name,Course URL,First Instructor,Course Description,# of Students,# of Ratings
Language Learning,Business English for Non-Native Speakers,https://www.coursera.org/specializations/business-english-speakers,Kin Tang,"This Specialization will introduce non-native speakers of English to methods for developing English language and communication skills for the workplace, doing business, cross-cultural understanding, and business case study analysis. You'll apply these skills in the final Capstone Project by analysing a current business case study and providing recommendations to a target audience in both presentation and written formats.","50,597",794
Language Learning,A Bridge to the World: Korean Language for Intermediate1 ,https://www.coursera.org/learn/korean-language-intermediate,Kyong Hwon Kim,None,"29,311",258
Language Learning,Learn to Speak Korean 1,https://www.coursera.org/learn/learn-speak-korean1,NaN,None,"396,687","9,628"
Language Learning,"Teach English Now! Second Language Reading, Writing, and Grammar ",https://www.coursera.org/learn/tesol-writing,Jessica Cinco,"In this course, you will learn ideas for teaching reading and writing courses, and how to include grammar instruction within them.  Learn how to help students with differing types of reading problems and how to implement both intensive and extensive reading strategies.  Learn strategies to engage students in the stages of writing--pre-writing, writing, and post-writing.  Find out about different writing problems that students may encounter.  Incorporate grammar through the use of noticing and input enhancement.","83,446","2,101"
Language Learning,"TESOL Certificate, Part 1: Teach English Now!",https://www.coursera.org/specializations/tesol,Emilia Gracia,"Demonstrate basic foundational principles, recognize second or foreign language learning theories, and design and plan lessons to teach English as a second or foreign language effectively.

This specialization is the first of two specializations that make up the TESOL Certificate from Arizona State University. In this specialization, you will learn about the basic foundational principles of language acquisition and the basic techniques founded upon those principles. It will describe second or foreign language theories, and basic studies in second language acquisition and their pedagogical implications. It will elaborate upon basic design for lesson plans and provide access to professional resources. In the final Capstone Project, in collaboration with Arizona State University’s Global Launch, you will apply the skills you learned by designing a lesson plan which includes learning outcomes, assessments, materials, classroom management techniques and the learning activities themselves. When you complete this specialization, go on to the second specialization in order to complete your TESOL certificate experience!","69,749","8,920"
Language Learning,Arizona State University TESOL,https://www.coursera.org/professional-certificates/arizona-state-university-tesol,Emilia Gracia,"This course is designed for anyone who wants to teach English anywhere in the world. If you want to become a teacher, polish your teaching skills, or add a credential to your resume, this is the course for you! Get certified by a nationally-ranked university.","43,067","4,665"
Language Learning,English for Media Literacy,https://www.coursera.org/learn/media,Lauren Fiori,None,"85,542","1,854"
Language Learning,Simple Past Tense,https://www.coursera.org/learn/simple-past-tense,Rachel Fernandez,"In this course, “Simple Past Tense,” you will learn how to form and use the simple past. You will see that there are a lot of irregular verbs in the simple past, but there are some patterns you can use to help you remember. You will learn about spelling changes when you add an “-ed” ending, as well as how to form negatives and questions in the past. You will also learn about object pronouns and some other forms of adjectives to describe and make comparisons.","9,036",274
Language Learning,Teach English Now! Technology Enriched Teaching,https://www.coursera.org/learn/tesol-technology,Jessica Cinco,"This course focuses on the key concepts you need in order to effectively integrate technology into your teaching, without letting it overshadow language learning. Discover current and future trends in educational technology, along with strategies for implementing these trends in the classroom and beyond. As technology is continually evolving, learn how to keep up on current technological applications through professional development networks and training opportunities.","35,843","1,333"
Language Learning,"TESOL Certificate, Part 2: Teach English Now!",https://www.coursera.org/specializations/tesol-certificate-2,Jessica Cinco,"This specialization is the second of two specializations that make up the TESOL Certificate from Arizona State University. This Specialization builds on the theories learned in TESOL Certificate, Part 1: Teach English Now! Foundational Principles. It covers the design and implementation of reading and writing, listening and speaking, and technology enriched activities, as well as a teaching practicum. In the final Capstone Project, developed by international educators and TESOL specialists at ASU’s Global Launch, you’ll apply the skills you learned by demonstrating your ability to teach through video recordings and by reflecting on your own and others’ teaching. When you complete both Specializations, you will submit your work for expert review to receive your ASU 150-hour TESOL Certificate, in addition to your Coursera certificates.","26,502","2,152"
Language Learning,First Step Korean,https://www.coursera.org/learn/learn-korean,NaN,None,"1,277,424","45,566"
Language Learning,"Teach English Now! Second Language Listening, Speaking, and Pronunciation",https://www.coursera.org/learn/tesol-speaking,Jessica Cinco,"In this course, you will be introduced to some of the challenges of teaching and learning listening and speaking, such as paralinguistics, performance variables, reduced and regional forms, and differing types of oral discourse. Don't worry--you'll learn what those mean, too!  Then you'll learn how to ease the acquisition of listening and speaking for your students. The course also highlights the powerful opportunity to include pronunciation in listening and speaking classes and offers strategies to incorporate pronunciation activities.","63,340","1,668"
Language Learning,Chinese for HSK 1,https://www.coursera.org/learn/hsk-1,NaN,None,"79,616","2,192"
Language Learning,Étudier en France: French Intermediate course B1-B2,https://www.coursera.org/learn/etudier-en-france,Julie André,None,"442,252","4,333"
Language Learning,Spanish Vocabulary: Careers and Social Events,https://www.coursera.org/learn/spanish-vocabulary-careers,NaN,"¡Hola! This fourth course will introduce new vocabularies in the areas of dining, fashion, professions and careers and will bring you ever closer to the 500 word threshold for beginning Spanish. The course will also introduce the subjunctive and the future tense so that you can begin to speak about future events, things they desire and pursuing professional goals. This is the final course before you will undertake a project that showcases your mastery of basic Spanish vocabulary and grammar.","28,422",190
Language Learning,Pluralidades em Português Brasileiro,https://www.coursera.org/learn/brasileiro-portugues,Ana Rute Mendes,None,"34,237",796
Language Learning,The Pronunciation of American English,https://www.coursera.org/specializations/american-english-pronunciation,Helen Nam,"This specialization is intended for anyone who wants to achieve clearer, more understandable pronunciation of American English to help them communicate more easily and effectively. Through these four courses, you will learn about and practice consonant and vowel sounds, along with aspects of the “music” of English, including word stress, intonation, and connected speech. Clearer pronunciation leads to success in business, education, or any field where English is required.","27,040",672
Language Learning,Learn English: Advanced Grammar and Punctuation,https://www.coursera.org/specializations/advanced-grammar-punctuation,Tamy Chapman,This specialization follows our Learn English: Intermediate Grammar specialization and includes more advanced grammar concepts such as noun clauses and conditionals. You'll also learn how to blend verb tenses effectively and how to punctuate sentences correctly. This specialization is useful for non-native English speakers who want to improve their fluency or native speakers who want to improve their accuracy in using English for academic or professional purposes.,"64,998","1,762"
Language Learning,Spanish Vocabulary: Meeting People,https://www.coursera.org/learn/spanish-vocabulary-meeting-people,NaN,"¡Hola! ¿Como Estas? In this entry level course, you will take the first step toward exploring the foundations of Spanish grammar and pronunciation, and will begin to build a working vocabulary of common Spanish words and expressions. You will be able to talk about yourself, your family and friends in the present tense, and begin to explore the cultural context of the Spanish-speaking world through a series of videos and interactive activities, including speaking, reading and writing exercises. The adventure begins here, so ¡vámanos!","193,124","3,034"
Language Learning,"Spanish Vocabulary: Sports, Travel, and the Home",https://www.coursera.org/learn/spanish-vocabulary-sports-travel-home,NaN,"Ready for the big game? Building on the vocabulary and skills that you have already mastered, this third course of the specialization will introduce new vocabulary that will prepare you to discuss sports, pastimes and politics -- important cultural elements of the Spanish-speaking world. You’ll also add new vocabulary relating to travel and living arrangements. This course also introduces the progressive tense and past tense and you will add to your vocabulary of helping verbs.","27,647",261
Language Learning,Spanish Vocabulary: Cultural Experience,https://www.coursera.org/learn/spanish-vocabulary-cultural-experience,NaN,"¡Bienvenidos! This second course in the specialization will build on the basic vocabulary you learned in the first course, and you will begin to build the skills necessary to express your likes and dislikes orally and in writing. You’ll also begin to explore the some of the common cultural experiences of the Spanish-speaking world through a visit to the marketplace. A series of interactive activities and videos will provide opportunities for practice and continued exploration of the cultural context of the Spanish-speaking world.","40,227",527
Language Learning,Spanish Vocabulary Project,https://www.coursera.org/learn/spanish-vocabulary-project,NaN,"In this course, we'll imagine that you are applying for an all-expenses paid, educational trip to a Spanish-speaking nation of your choice. You'll introduce yourself to a host family that you'll be staying with, research the rich culture and history of the place you intend to visit and compare it with your own country, and plan out an itinerary of places you plan to see, and things you plan to do and experience while visiting. In addition, you'll summarize the key points of your written report in an oral presentation. This course is challenging and is meant to test everything you've learned in the Spanish Vocabulary specialization. It will provide you an excellent way in which to test what you know and what you still need to work on in your Spanish learning journey.","23,465",161
Language Learning,Learn Mandarin Chinese: Intermediate ,https://www.coursera.org/specializations/learn-mandarin-chinese-intermediate,An Na,"If you have fundamental proficiency in Mandarin Chinese, join us now to practice and improve your skill of the language spoken by more than 1 billion people. This may enable you to know and do business with people from one of the world's biggest economies. This specialization may also help you to pass HSK 3 test.","5,033",80
Language Learning,Learn Mandarin Chinese,https://www.coursera.org/specializations/learn-mandarin,Wang Jun,Come and learn the language which is spoken by more than 1 billion people and is getting more and more learners. This may enable you to know and do business with people from one of the world's biggest economies. This specialization may also help you to pass HSK (the only official proficiency test of Chinese language) level 1 or 2.,"29,830","1,363"
Language Learning,Learn Chinese: HSK Test Preparation,https://www.coursera.org/specializations/hsk-learn-chinese,YU Bin,"This specialization consists of three elementary language courses, aims to improve your Chinese language skills effectively and systematically. This specialization introduces everyday language and includes activities to practice all four language skill: conversation, comprehension, reading and writing. You will learn about Chinese culture and basic Chinese Characters more, will possess the ability to further your Chinese language studies.","29,485","2,205"
Language Learning,Learning Chinese : Start From Scratch (零到一學中文),https://www.coursera.org/learn/learn-chinese-mandarin,NaN,None,"48,538",418
Language Learning,Chinese Characters for beginner 汉字,https://www.coursera.org/learn/hanzi,NaN,None,"75,605",849
Language Learning,Mandarin Chinese 1: Chinese for Beginners,https://www.coursera.org/learn/mandarin-chinese-1,Wang Jun,None,"71,626","1,308"
Language Learning, Mandarin Chinese for Intermediate Learners: Part 1,https://www.coursera.org/learn/mandarin-chinese-intermediate-learners-1,An Na,"""Mandarin Chinese 1: Chinese for Intermediate Learners"" is the first course of the MOOC specialization  ""Learn Intermediate Mandarin Chinese"" created by Shanghai Jiao Tong University.","9,920",101
Language Learning,Chinese for HSK 1,https://www.coursera.org/learn/hsk-1,NaN,None,"79,616","2,192"
Language Learning,More Chinese for Beginners,https://www.coursera.org/learn/more-chinese-for-beginners,NaN,None,"57,006","1,004"
Language Learning,Mandarin Chinese 2: Chinese for Beginners,https://www.coursera.org/learn/mandarin-chinese-2,Wang Jun,None,"17,898",410
Language Learning,Chinese for HSK 2,https://www.coursera.org/learn/hsk-2,NaN,None,"25,144",784
Language Learning,Chinese Characters for beginner (2)    汉字(2),https://www.coursera.org/learn/hanzi-2,NaN,None,"11,772",152
Health,Epidemiology in Public Health Practice,https://www.coursera.org/specializations/professional-epidemiology,"Aruna Chandran, MD, MPH","This specialization is intended for people working or aspiring to work in the field of public health at the local, regional, and national level. Over five courses taught by faculty from the preeminent school of public health, you'll learn to use the core epidemiologic toolset to measure the health of populations, assess interventions, collect and analyze data, and investigate outbreaks and epidemics.","35,166","3,144"
Health,Epidemiology: The Basic Science of Public Health,https://www.coursera.org/learn/epidemiology,Dr.  Karin Yeatts  ,"Often called “the cornerstone” of public health, epidemiology is the study of the distribution and determinants of diseases, health conditions, or events among populations and the application of that study to control health problems. By applying the concepts learned in this course to current public health problems and issues, students will  understand the practice of epidemiology as it relates to real life and makes for a better appreciation of public health programs and policies. This course explores public health issues like cardiovascular and infectious diseases – both locally and globally – through the lens of epidemiology.","182,438","4,237"
Health,Epidemiology for Public Health,https://www.coursera.org/specializations/public-health-epidemiology,NaN,"Thousands of new epidemiological studies are conducted every year and their results can have a profound impact on how we live our lives. Decisions regarding the food you eat, how much you exercise, where you live and what treatment you will follow if you get sick are made based on data from such studies. This specialization aims to equip you with the skills that will allow you to correctly interpret epidemiological research, consider its limitations, and design your own studies.

The first course of the specialisation, Measuring Disease in Epidemiology, looks into the main measures used in epidemiology and how these can inform decisions around public health policy, screening and prevention.

The second course, Study Designs in Epidemiology, provides an overview of the most common study designs, their strengths and limitations.

The third course, Validity and Bias in Epidemiology, builds on the fundamental concepts taught in the previous courses to discuss bias and confounding and how they might affect study results. It also provides the essential skills to prevent and control bias and confounding and critically think about causality.

At the end of this specialization you will have gained the essential skills to design and critique epidemiological research and you will be able to pursue more advanced courses in epidemiology. Although this specialization is part of the GMPH programme, it can be taken independently of the GMPH.","13,464",824
Health,AI in Healthcare,https://www.coursera.org/specializations/ai-healthcare,Nigam Shah,"Artificial intelligence (AI) has transformed industries around the world, and has the potential to radically alter the field of healthcare. Imagine being able to analyze data on patient visits to the clinic, medications prescribed, lab tests, and procedures performed, as well as data outside the health system -- such as social media, purchases made using credit cards, census records, Internet search activity logs that contain valuable health information, and you’ll get a sense of how AI could transform patient care and diagnoses.

In this specialization, we'll discuss the current and future applications of AI in healthcare with the goal of learning to bring AI technologies into the clinic safely and ethically.

This specialization is designed for both healthcare providers and computer science professionals, offering insights to facilitate collaboration between the disciplines.

CME Accreditation

The Stanford University School of Medicine is accredited by the Accreditation Council for Continuing Medical Education (ACCME) to provide continuing medical education for physicians. View the full CME accreditation information on the individual course FAQ page.","14,489",932
Health,Foundations of Telehealth,https://www.coursera.org/learn/telehealth,Rebecca Canino,"Telemedicine has proven itself to be an important part of the future of healthcare. In this course, students will be introduced to the key components and considerations needed to design and implement a successful telemedicine program at both the practice and health system levels. The course emphasizes operational design principles and highlights a team based approach. Key content areas include clinical considerations, patient safety, technology needs, patient satisfaction, legal, government affairs, regulatory and compliance, and billing considerations.",NaN,12
Health,International Women's Health and Human Rights,https://www.coursera.org/learn/womens-health-human-rights,NaN,None,"90,791","1,368"
Health,Introduction to the Biology of Cancer,https://www.coursera.org/learn/cancer,NaN,None,"182,026","6,712"
Health,Essentials of Global Health,https://www.coursera.org/learn/essentials-global-health,NaN,None,"63,070","1,825"
Health,Global Quality Maternal and Newborn Care,https://www.coursera.org/learn/global-quality-maternal-and-newborn-care,Michelle Telfer,"This course is designed for administrators, advocates, policy makers, clinicians, and service users. It will give you the background, recommendations, and tools you need to address issues related to high quality maternal and newborn care in your own setting.  In particular, you will learn about the evidence behind implementing the midwifery model of care as a means to advancing the health and wellbeing of mothers and babies globally. The modules in this course are structured around the Quality Maternal and Newborn Care Framework, first published in the landmark 2014 Lancet Series on Midwifery. You will learn from nearly 20 expert contributors as they discuss their research and personal experiences in low, middle, and high resource settings.","8,868",167
Health,An Introduction to Global Health,https://www.coursera.org/learn/global-health-introduction,NaN,"This course will provide you with an overview of the most important health challenges facing the world today. You will gain insight into how challenges have changed over time, we will discuss the likely determinants of such changes and examine future projections. Successful international strategies and programs promoting human health will be highlighted and global health governance structures will be mapped and the role of the key actors explored.","27,595",783
Health,Health in Complex Humanitarian Emergencies,https://www.coursera.org/learn/health-che,"Dabney P. Evans, PhD, MPH",None,"12,505",304
Health,Global Health: An Interdisciplinary Overview,https://www.coursera.org/learn/global-health-overview,Rafael Ruiz De Castañeda,"This course proposes an overview of current global health challenges drawing on the insights of several academic disciplines including medicine, public health, law, economics, social sciences and humanities. This interdisciplinary approach will guide the student into seven critical topics in global health.","26,704",450
Health,COVID-19 Contact Tracing,https://www.coursera.org/learn/covid-19-contact-tracing,NaN,None,"1,382,878","94,603"
Health,Introduction to Psychology ,https://www.coursera.org/learn/introduction-psychology,NaN,"What are people most afraid of? What do our dreams mean? Are we natural-born racists? What makes us happy? What are the causes and cures of mental illness? This course tries to answer these questions and many others, providing a comprehensive overview of the scientific study of thought and behavior. It explores topics such as perception, communication, learning, memory, decision-making, persuasion, emotions, and social behavior.  We will look at how these aspects of the mind develop in children, how they differ across people, how they are wired-up in the brain, and how they break down due to illness and injury.","996,442","24,636"
Health,Stanford Introduction to Food and Health,https://www.coursera.org/learn/food-and-health,NaN,None,"748,340","27,433"
Health,Social Psychology,https://www.coursera.org/learn/social-psychology,NaN,None,"546,993","4,469"
Health,Primeros Auxilios Psicológicos (PAP),https://www.coursera.org/learn/pap,Alicia Álvarez,None,"464,921","9,289"
Health,Psychological First Aid,https://www.coursera.org/learn/psychological-first-aid,NaN,None,"464,421","17,809"
Health,Child Nutrition and Cooking,https://www.coursera.org/learn/childnutrition,NaN,"Eating patterns that begin in childhood affect health and well-being across the lifespan. The culture of eating has changed significantly in recent decades, especially in parts of the world where processed foods dominate our dietary intake. This course examines contemporary child nutrition and the impact of the individual decisions made by each family. The health risks associated with obesity in childhood are also discussed. Participants will learn what constitutes a healthy diet for children and adults and how to prepare simple, delicious foods aimed at inspiring a lifelong celebration of easy home-cooked meals. This course will help prepare participants to be the leading health providers, teachers and parents of the present and future.The text and other material in this course may include the opinion of the specific instructor and are not statements of advice, endorsement, opinion, or information of Stanford University.","463,543","9,401"
Health,A Life of Happiness and Fulfillment,https://www.coursera.org/learn/happiness,NaN,None,"452,333","5,688"
Health,Introductory Human Physiology,https://www.coursera.org/learn/physiology,Jennifer Carbrey,"In this course, students learn to recognize and to apply the basic concepts that govern integrated body function (as an intact organism) in the body's nine organ systems.","424,722","4,500"
Health,Introduction to Psychology,https://www.coursera.org/learn/introduction-psych,NaN,None,"422,772","4,694"
Health,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,https://www.coursera.org/learn/mindshift,Barbara Oakley,None,"410,834","12,098"
Health,Writing in the Sciences,https://www.coursera.org/learn/sciwrite,NaN,"This course teaches scientists to become more effective writers, using practical examples and exercises. Topics include: principles of good writing, tricks for writing faster and with less anxiety, the format of a scientific manuscript, peer review, grant writing, ethical issues in scientific publication, and writing for general audiences.","369,608","7,145"
Health,Introduction to Psychology ,https://www.coursera.org/learn/introduction-psychology,NaN,"What are people most afraid of? What do our dreams mean? Are we natural-born racists? What makes us happy? What are the causes and cures of mental illness? This course tries to answer these questions and many others, providing a comprehensive overview of the scientific study of thought and behavior. It explores topics such as perception, communication, learning, memory, decision-making, persuasion, emotions, and social behavior.  We will look at how these aspects of the mind develop in children, how they differ across people, how they are wired-up in the brain, and how they break down due to illness and injury.","996,442","24,636"
Health,Psychological First Aid,https://www.coursera.org/learn/psychological-first-aid,NaN,None,"464,421","17,809"
Health,Primeros Auxilios Psicológicos (PAP),https://www.coursera.org/learn/pap,Alicia Álvarez,None,"464,921","9,289"
Health,Cancer Biology,https://www.coursera.org/specializations/cancer-biology,"Kenneth J. Pienta, M.D.","The healthcare system is a rapidly evolving field with new research leading to advancements in medicine. Developed at Johns Hopkins University and led by top-ranked Hopkins faculty and cancer experts, this specialization on Cancer Biology focuses on the basics of cancer biology, how cancer metastasis occurs, and specifically, screening guidelines for prostate cancer, the most common cancer in American men.

This specialization starts with an Introduction to the Biology of Cancer, introduces the molecular biology of cancer and the biologic hallmarks of cancer. The course also describes the risk factors for the major cancers worldwide, including lung cancer, breast cancer, colon cancer, prostate cancer, liver cancer, and stomach cancer. Experts at Johns Hopkins University explain how cancer is staged, the major ways cancer is found by imaging, and how the major cancers are treated.

The specialization takes a deeper dive in Understanding Cancer Metastasis, explaining how cancer spreads or metastasizes. This course will describe the major theories of metastasis and then describe the biology behind the steps in metastasis. The course also describes the major organs targeted by metastasis and describes how metastases harm the patient. Lastly, it focuses on Understanding Prostate Cancer, providing you with the tools to examine the incidence of prostate cancer, including risk factors, stages, and treatments at each stage.","10,572",985
Health,Stanford Introduction to Food and Health,https://www.coursera.org/learn/food-and-health,NaN,None,"748,340","27,433"
Health,Bioinformatics,https://www.coursera.org/specializations/bioinformatics,Pavel  Pevzner,"Join Us in a Top 50 MOOC of All Time!

How do we sequence and compare genomes? How do we identify the genetic basis for disease? How do we construct an evolutionary Tree of Life for all species on Earth?

When you complete this Specialization, you will learn how to answer many questions in modern biology that have become inseparable from the computational approaches used to solve them. You will also obtain a toolkit of existing software resources built on these computational approaches and that are used by thousands of biologists every day in one of the fastest growing fields in science.

Although this Specialization centers on computational topics, you do not need to know how to program in order to complete it. If you are interested in programming, we feature an ""Honors Track"" (called ""hacker track"" in previous runs of the course). The Honors Track allows you to implement the bioinformatics algorithms that you will encounter along the way in dozens of automatically graded coding challenges. By completing the Honors Track, you will be a bioinformatics software professional!

Learn more about the Bioinformatics Specialization (including why we are wearing these crazy outfits) by watching our introductory video.

You can purchase the Specialization's print companion, Bioinformatics Algorithms: An Active Learning Approach, from the textbook website.

Our first course, ""Finding Hidden Messages in DNA"", was named a top-50 MOOC of all time by Class Central!","53,283",968
Health,Drug Development Product Management,https://www.coursera.org/specializations/drug-development-product-management,"Williams S. Ettouati, Pharm.D.","Pharmaceutical and biotech companies are spending years and millions of dollars developing drugs or promising new biologics, all with the hopes of saving or enhancing patients’ lives. This specialization will provide you with a 30,000 feet view of the entire process of drug discovery and development. In the first course you will begin with learning how scientists go from selecting a drug discovery target to filing an Initial New Drug application. In the second course you will learn the intricacy of drug development from Phase 0 to Phase 3 clinical trials and filing a New Drug Application. Finally, in the third course, the specialization will provide you an understanding of the complexities in launching new pharmaceutical products, ensuring sales success and patient access. Healthcare in the U.S. is unlike any other developed country, and this third course provides a good overview for anyone wanting to understand how the U.S. market works.

By the end of the specialization, you will have mastered a better understanding of the process of discovering new drugs. After completing this specialization if you are interested in pursuing a career specializing in drug development and product management you may want to consider exploring our Master of Science in Drug Development & Product Management at ddpm.ucsd.edu","25,869","1,733"
Health,Epidemiology in Public Health Practice,https://www.coursera.org/specializations/professional-epidemiology,"Aruna Chandran, MD, MPH","This specialization is intended for people working or aspiring to work in the field of public health at the local, regional, and national level. Over five courses taught by faculty from the preeminent school of public health, you'll learn to use the core epidemiologic toolset to measure the health of populations, assess interventions, collect and analyze data, and investigate outbreaks and epidemics.","35,166","3,144"
Health,The Business of Health Care,https://www.coursera.org/specializations/healthcare-administration-management,Richard Lambert,"This Specialization was designed to help you keep pace with the rapidly changing world of health and health care. Through partnership with Wharton and Penn Medicine, you’ll learn from experts in business acumen, health care management, and health care policy to develop the skills you’ll need to successfully navigate the quickly evolving landscape of this fast-growing field.* By the end of this specialization, you will have a strong foundational understanding of the American health care system, along with the basic financial and management skills to make better, well-informed decisions that improve the cost and quality of the health care you or your enterprise provides.

*The employment of medical and health services managers is projected to grow 17% from 2014 to 2024, significantly faster than the average for all occupations.

Source: Bureau of Labor Statistics, US Department of Labor. “Occupational Outlook handbook 2016-17 Edition. Medical and Health Services Managers.”","14,273","1,169"
Health,Anatomy,https://www.coursera.org/specializations/anatomy,Kathleen Alsup,"In this Specialization you will explore human anatomy using a systems approach, and a vast library of multimedia materials, so you may understand the features of different organ systems in relation to the human body’s form and function.

This Specialization covers the following organ systems:

Integumentary System

Musculoskeletal System

Cardiovascular System

Respiratory System

Urinary System

Nervous System

Gastrointestinal System

Reproductive System

Endocrine System

This Specialization takes advantage of a highly visual multimedia library of accurate anatomical models and materials to help you better understand the topics.","55,996","2,558"
Health,Design and Interpretation of Clinical Trials,https://www.coursera.org/learn/clinical-trials,"Janet Holbrook, PhD, MPH",None,"127,710","4,054"
Health,Writing in the Sciences,https://www.coursera.org/learn/sciwrite,NaN,"This course teaches scientists to become more effective writers, using practical examples and exercises. Topics include: principles of good writing, tricks for writing faster and with less anxiety, the format of a scientific manuscript, peer review, grant writing, ethical issues in scientific publication, and writing for general audiences.","369,608","7,145"
Health,COVID Vaccine Ambassador Training: How to Talk to Parents  ,https://www.coursera.org/learn/covid-vaccine-ambassador,NaN,"Vaccination is a key strategy for preventing serious illness and death from COVID-19. COVID-19 vaccines are available for children 5 and older, but many parents have questions about vaccinations. This training course prepares parents of school-age children, PTAs, community members, and school staff to be Vaccine Ambassadors and promote vaccine acceptance in their communities. After completing the course, Vaccine Ambassadors will be able to share knowledge about COVID-19 and the COVID-19 vaccine, engage in conversations about vaccine hesitancy in a respectful and empathetic way, and direct people to credible sources for further information about COVID-19 vaccines.","28,852","1,165"
Health,Managing Emotions in Times of Uncertainty & Stress,https://www.coursera.org/learn/managing-emotions-uncertainty-stress,NaN,"Developed by the Yale Center for Emotional Intelligence, Managing Emotions in Times of Uncertainty & Stress will provide participants with the knowledge, skills, and strategies to understand and manage their emotions and those of their students. The 10-hour online course is designed for school staff, including teachers, paraprofessionals, counselors, principals, and non-teaching staff in preK-12 schools.","166,969","2,167"
Health,Program Design & Evaluation for Health Systems Strengthening,https://www.coursera.org/learn/program-design-and-evaluation-for-health-systems-strengthening,"Jaya Gupta, PhD",None,NaN,19
Health,The Science of Generosity: Do Good...Feel Good,https://www.coursera.org/learn/do-good-feel-good,NaN,None,NaN,NaN
Health,Contemporary Biology ,https://www.coursera.org/learn/contemporary-biology,NaN,"This course is an introduction to biology as it applies to our everyday life. Learners will explore the interplay between science and self through a personalized case study of themselves and their environment. By the end of the course, learners will be able to recognize the interactions among natural phenomena and the implications of the scientific principles behind the physical world and their experiences living in it.","3,227",48
Health,Mental Health and Resilience for Healthcare Workers,https://www.coursera.org/learn/health-resilience-healthcare-workers,NaN,"This course will help institutions and individuals better manage the mental health challenges of being a healthcare worker.  Healthcare providers such as the University Health Network (UHN) address the mental health needs of their staff through several initiatives intended to help build resilience and to provide respite from the demands of their work.  This was critical during the pandemic but, of course, healthcare workers encounter high levels of stress even without a pandemic. The primary purpose of this course was to document and explain lessons learned with the hopes of informing healthcare institutions and healthcare workers about effective strategies and why they work.  Dr. Heather Gordon will highlight strategies she has employed within the UHN during the pandemic, and Professor Steve Joordens will discuss the psychology underlying these interventions.","6,316",229
Health,Abnormal Psychology,https://www.coursera.org/specializations/abnormal-psychology,Jen D'Andrea,"This specialization provides an introduction to the study of abnormal psychology, with a survey of various mental health concerns through both a modern and historical lens. It concludes with an opportunity to practice effecting behavioral change in your own life through an overview of scientifically-supported treatment strategies. The specialization is not intended to be a replacement for therapy, nor a replacement for formal psychiatric training, but - through a series of lectures, readings, and reflective projects - you will learn many of the basic tenets of how diagnosis and treatment have been applied throughout the existence of the discipline of psychology, how to empathically respond to people in distress, and some basic tools to make desired changes in your own life.","4,873",199
Health,Mindfulness and Well-being: Living with Balance and Ease,https://www.coursera.org/learn/foundations-of-mindfulness-ii-living-with-balance-and-ease,NaN,None,"27,461",256
Health,Mind Control: Managing Your Mental Health During COVID-19,https://www.coursera.org/learn/manage-health-covid-19,NaN,None,"184,371","8,503"
Health,Anatomy of the Upper and Lower Extremities ,https://www.coursera.org/learn/anatomy-extremeties,Shanta Kapadia,None,"14,699",37
Health,Introduction to Digital Health Entrepreneurship,https://www.coursera.org/learn/introduction-digital-health-entrepreneurship,"Sanjula Jain, Ph.D.","This course will provide an overview of digital health entrepreneurship with an initial emphasis on learning the basic digital health terminology, exploring a current example of telemedicine and its growth during the COVID pandemic, and gaining an understanding of the landscape and macro forces that affect the US healthcare system and the evolution of digital health. Students who successfully complete the course will understand the impact that payers, regulators, clinicians, and patients have on and the implications for digital health innovations.",NaN,NaN
Health,Space Medicine,https://www.coursera.org/learn/space-medicine-duke,Nicholas Saba,None,"5,369",176
Health,Revisão Sistemática e Meta-análise,https://www.coursera.org/learn/revisao-sistematica,Tais Freire Galvao,None,"42,763","2,516"
Health,Uso prudente de antimicrobianos en el entorno hospitalario,https://www.coursera.org/learn/antibioticos-uso-prudente,Jorge Alberto Cortés Luna,None,"2,048",254
Health,Dino 101: Dinosaur Paleobiology,https://www.coursera.org/learn/dino101,NaN,"Dino 101: Dinosaur Paleobiology is a 12-lesson course teaching a comprehensive overview of non-avian dinosaurs. Topics covered: anatomy, eating, locomotion, growth, environmental and behavioral adaptations, origins and extinction. Lessons are delivered from museums, fossil-preparation labs and dig sites. Estimated workload: 3-5 hrs/week.","64,871","3,148"
Health,Understanding Medical Research: Your Facebook Friend is Wrong,https://www.coursera.org/learn/medical-research,NaN,None,"73,852","1,658"
Health,Everyday Parenting: The ABCs of Child Rearing,https://www.coursera.org/learn/everyday-parenting,NaN,None,"179,309","2,545"
Health,Introduction to Breast Cancer,https://www.coursera.org/learn/breast-cancer-causes-prevention,NaN,None,"47,035","1,141"
Health,Diálisis peritoneal,https://www.coursera.org/learn/dialisis-peritoneal,NaN,None,"29,187",842
Health,Thoracic Oncology,https://www.coursera.org/learn/thoracic-oncology,Dr. Leslie Eisenbud Quint,None,"21,642",455
Health,Saúde Baseada em Evidências,https://www.coursera.org/learn/sbe,Tais Freire Galvao,None,"23,177","1,273"
Health,Getting started in cryo-EM,https://www.coursera.org/learn/cryo-em,NaN,None,"21,409",266
Health,Bugs 101: Insect-Human Interactions,https://www.coursera.org/learn/bugs-101,NaN,None,"37,801","1,197"
